id,source,sentence_1,sentence_2,label,binary-label
boostcamp-sts-v1-train-2862,nsmc-rtt,웃기도하고울기도하는 시각장애인을 바라보는 눈을 다르게 만들어줄 최고의 영화,웃고 우는 시각장애인의 눈을 바꿔줄 최고의 영화,3.2,1.0
boostcamp-sts-v1-train-2863,nsmc-sampled,대박 그자체 너무좋음 디즈니니까,역대 디즈니 시리즈중에 가장 감동없고 최악이었음.,0.8,0.0
boostcamp-sts-v1-train-2864,slack-sampled,도커 구독 정책이 바뀐다고 하네요.,가격정책 정하고 있는중이라 정해지면 업데이트 해준다고 합니다.,0.6,0.0
boostcamp-sts-v1-train-2865,nsmc-rtt,요즘 관객들을 호구로 아나 확실하게 벗거나 극적인 스토리던가 이도 저도 아닌 영화는 철저한 외면을 당할텐데 제작사에서 그런걸 모르나?,"요즘 관객들을 호구로 안다면 확실히 알몸이거나 드라마틱한 스토리가 있는 영화인지, 아니면 아예 무시하는 것도 아니고 아예 무시하는 것도 아닌데 제작사는 그걸 모르나?",3.2,1.0
boostcamp-sts-v1-train-2866,petition-sampled,크림하우스 처벌해주세요,크림하우스 처벌 원합니다,4.4,1.0
boostcamp-sts-v1-train-2867,slack-sampled,참 미안한 마음이 많이 드는 비디어 네요.,저도 너무 좋게 들었네요.,0.0,0.0
boostcamp-sts-v1-train-2868,petition-sampled,문재인 대통령께 부탁드립니다,문재인 대통령께 묻고 싶습니다,2.0,0.0
boostcamp-sts-v1-train-2869,nsmc-rtt,"그냥 최고,, 완전,, 못보신분들 꼭!!!!!!보시길,,","안 보신 분들을 위해 딱, 딱, 딱!!!!!,,,",1.2,0.0
boostcamp-sts-v1-train-2870,slack-sampled,우연히 사는 지역 관련 이야기가 나오면서 학교 이야기가 나왔는데 알고보니 저와 같은 학교 출신이어서 신기했습니다.,연말 계획에 대해 얘기하다가 같은 경상도 출신이라는 공통점을 발견했네요.,0.8,0.0
boostcamp-sts-v1-train-2871,petition-rtt,공매폐지 합시다 좀!,공매도 그만하자!,3.8,1.0
boostcamp-sts-v1-train-2872,nsmc-sampled,부모님께잘해야겟다고다시한번느끼는영화. . .,가슴찢어지게슬프고감동적인영화..,1.0,0.0
boostcamp-sts-v1-train-2873,petition-sampled,중증외상센타 예산 증원,중증외상센타 지원확대 동의합니다,3.0,1.0
boostcamp-sts-v1-train-2874,slack-sampled,"개인의 성장과 회사의 성장을 일치시키려고 하는 노력을 많이 하고, 그 일환들인 것 같습니다.",아직 많은 사람들에게 어렵게 느껴지는 AI라는 기술의 유익함을 알리고 많은 사람들을 끌어들이고자 많은 노력을 하고 있습니다.,0.6,0.0
boostcamp-sts-v1-train-2875,petition-sampled,소년법개정을촉구합니다,소년법 개정을 요구합니다,4.0,1.0
boostcamp-sts-v1-train-2876,nsmc-sampled,예전에 극장에서 봤는데 진짜 재미없다,유선에서 하길래 봤는데 참.... 재미없다,2.2,0.0
boostcamp-sts-v1-train-2877,nsmc-sampled,재미있고 다른 느낌이라 더욱 좋았던것 같습니다,실제로 있을 것 같은 내용이라 더 재미잇는 것 같아요....,2.4,0.0
boostcamp-sts-v1-train-2878,nsmc-sampled,정말 재밌었어요..,너무 재밌었어요..,4.6,1.0
boostcamp-sts-v1-train-2879,nsmc-sampled,헐리우드식 킬링타임용 영화가 아니다.,킬링타임용 영화에도 정도라는것이 있다.,1.4,0.0
boostcamp-sts-v1-train-2880,slack-rtt,재미난 일 가득한 온보딩 되시길 바랍니다.,재미있는 온보딩이 되시기 바랍니다.,4.0,1.0
boostcamp-sts-v1-train-2881,slack-sampled,제가 아무말이나 해도 너무 웃어주셔서…,어휴 ㅠㅠ 많이 놀라셨겠어요 ㅠㅠ,0.0,0.0
boostcamp-sts-v1-train-2882,petition-sampled,오토바이 전 세계 자유로 자동차 폐지 요청,공매도 폐지 요청 간절히 드립니다,0.0,0.0
boostcamp-sts-v1-train-2883,slack-sampled,사진 잘찍으시는군요 ;ㅁ;,손들었는데 스케줄 보니 그 시간 면접이 있네요 ;ㅁ; 흑,0.0,0.0
boostcamp-sts-v1-train-2884,slack-sampled,"원래 오늘 점심 식사를 함꼐하기로 했었는데, 제가 갑자기 앓아 눕는 바람에 화상으로 이야기 나누었습니다.",명절 서터레스를 어떻게 해소할지를 고민하다가 명절 후에 만나서 함께 식사하기로 했습니다,0.4,0.0
boostcamp-sts-v1-train-2885,slack-sampled,그래도 처음 같이 얘기해서 좋은 시간이었습니다~,오늘 처음 만났음에도 너무 즐거운 시간이였습니다!,3.0,1.0
boostcamp-sts-v1-train-2886,petition-rtt,당직비 의무화'를 노동법에 명시해주세요.,근로기준법상 '근로수당'을 명시해주세요.,0.6,0.0
boostcamp-sts-v1-train-2887,nsmc-sampled,어렸을때 매젬게 본 영화 강추~~~,어린시절 정말 무섭게 본 영화~~,2.4,0.0
boostcamp-sts-v1-train-2888,slack-rtt,어디서 저렇게 많이 나오는지 알면 거긴 더 적극적으로 피하고 그럴텐데 좀 아쉬워요.,어디서 그렇게 많이 왔는지 알았다면 좀 더 적극적으로 피했을 텐데 조금 아쉽네요.,4.0,1.0
boostcamp-sts-v1-train-2889,nsmc-rtt,믿고보는 리암니슨!!,"리암리슨,샤를리즈 테론 짱!!!",1.8,0.0
boostcamp-sts-v1-train-2890,nsmc-sampled,이런게 바로 영화다.,"이런게 진짜 영화다,",4.0,1.0
boostcamp-sts-v1-train-2891,nsmc-sampled,어릴때 감동에 파도가 쳤었는데....수남이 목소리 김용건씨가 한거 아닌가요??,어릴적에 누나가 dvd로 빌려왔는데.. 이제는 구하기 어렵네ㅠㅠ,0.0,0.0
boostcamp-sts-v1-train-2892,nsmc-sampled,너무 기대해서 봤나.... 정말 실망..;;,너무 SF적으로 변해서 실망...,2.2,0.0
boostcamp-sts-v1-train-2893,nsmc-rtt,아까운 내 두시간ㅋㅋ OOㅋㅋ,내 소중한 두시간 ㅋㅋㅋㅋㅋㅋㅋ,3.2,1.0
boostcamp-sts-v1-train-2894,nsmc-rtt,이거보고 우연히 쓰리데이즈 봤는데.,이거 보고 우연히 3일 봤습니다.,3.2,1.0
boostcamp-sts-v1-train-2895,nsmc-sampled,마음이짠해지고 요괴들너무귀엽다,아시다 마나 너무귀엽다,1.2,0.0
boostcamp-sts-v1-train-2896,petition-sampled,심신 미약 가해자에 대한 감형 폐지,음주 후 범죄에 대한 처벌기준 강화,1.0,0.0
boostcamp-sts-v1-train-2897,petition-sampled,양봉 하시는 분 때문에 이제 정신적 고통까지 받고있습니다.,군산 동백대교 건설로 인해 주변 시민들은 하루하루 고통속에 살아가고 있습니다.,0.0,0.0
boostcamp-sts-v1-train-2898,petition-sampled,다중지능이론을 교육에 전면도입하길 청원합니다,태형도입 청원합니다. 피해자인권보호 범죄자인권x,0.0,0.0
boostcamp-sts-v1-train-2899,slack-rtt,대박. 3월에 자율주행 한라산 고고,엄청난. 3월 자율주행 한라산고고,4.0,1.0
boostcamp-sts-v1-train-2900,nsmc-sampled,시간짜리 영화지만 대충 넘기면서 보는게 더 괜찮을듯 싶어요.,영화보다는 그 친구보는게 더 좋았다..,0.2,0.0
boostcamp-sts-v1-train-2901,slack-sampled,와아아 우리 회사배 큐브대회도 한번,우리 회사로켓도 고고고!,0.2,0.0
boostcamp-sts-v1-train-2902,petition-rtt,일에 대한 합당한 댓가를 바랍니다.,나는 당신이 당신의 일에 대해 합리적인 가격을 지불하기를 바랍니다.,3.2,1.0
boostcamp-sts-v1-train-2903,nsmc-rtt,중반부 까지의 흥미로움을 한거번에 깨부수는 후반부와 엉성한 CG과 불친절한 연출들에 어이가 없다.,"흥미를 단숨에 깨뜨리는 후반부, 엉성한 CG와 불친절한 연출이 어이가 없다.",4.0,1.0
boostcamp-sts-v1-train-2904,petition-sampled,난민을 수용하는 것에 대하여,난민을 일단 무인도에 수용 후..,1.0,0.0
boostcamp-sts-v1-train-2905,petition-sampled,외상환자 살려주세요,외상센터 지원해 주세요,1.4,0.0
boostcamp-sts-v1-train-2906,nsmc-sampled,이런 영화는 이렇게 만들어야 제맛!!,이런 영화는 정말 그만 만들어야 하지 않을까..,0.2,0.0
boostcamp-sts-v1-train-2907,slack-sampled,곧 착수 합니다 ㅜ,괜찮습니다 ㅠㅠㅋㅋ,0.0,0.0
boostcamp-sts-v1-train-2908,slack-sampled,그냥 이 말씀이 떠오르면 마음의 온도가 1도 오르며 안정적 바이브를 찾고 다시 생각해볼 힘이 되는 것 같아요.. ㅎㅎ,오 약속 표현을 구체적으로 생각해보니 상상보다 더 재미있을 것 같아요 ㅎㅎ,0.0,0.0
boostcamp-sts-v1-train-2909,slack-rtt,연극부 출신이 여럿 있다는 소문이!!,극장 동아리에 몇 명 있다는 소문이!!,2.5,1.0
boostcamp-sts-v1-train-2910,nsmc-sampled,사람이저렇게홱홱변할수가있나어처구니없다,진지하게 생각해봐야할 문제,0.0,0.0
boostcamp-sts-v1-train-2911,nsmc-rtt,당신이길 바랬어요.... ㅎㅎ,너였으면 좋겠다....하하,3.0,1.0
boostcamp-sts-v1-train-2912,slack-sampled,"눈온뒤 3~4일 이내에 도로 통제 풀렸을 때 정도 잘 맞추면 가능한데, 육지에서 오면 조건 맞춰서 타이밍 잡기가 쉽지는 않을 것 같기도 하네요..ㅎㅎ",강릉 1박 2일이면 시간이 많은 것도 아닌 것 같아서요~,0.0,0.0
boostcamp-sts-v1-train-2913,slack-sampled,<PERSON> 님과 두번째 만남이지만 제대로 얘기 나눠 볼 수 있는 걸로는 첫번째 만남이었습니다.,이번주 홀수인관계로 티타임 주선이 안되신 분은 <PERSON> 님에게 ping주셔요.,0.4,0.0
boostcamp-sts-v1-train-2914,slack-sampled,잘참고 하겠습니다.,잘 먹어야 득근 됩니다,0.0,0.0
boostcamp-sts-v1-train-2915,slack-sampled,아래 notion 에 사용 신청 가이드 문서를 작성했습니다.,Quest 2가 없어도 데스크톱에서 영상 통화를 통해 회의에 참여하는 것이 가능합니다.,0.0,0.0
boostcamp-sts-v1-train-2916,slack-rtt,밥스테이지는 remote 환경에서 일하는 star들이 직접 만나 점심 시간을 가질 기회를 만들어드려요,Bob Stage는 원격 환경에서 일하는 스타들이 직접 만나 점심을 먹을 수 있는 기회를 제공합니다.,4.2,1.0
boostcamp-sts-v1-train-2917,slack-rtt,오늘 부터 하루만 식단 들어 갑니다. 고고!!,오늘부터 하루만 포함됩니다. 고고!!,1.6,0.0
boostcamp-sts-v1-train-2918,slack-rtt,브랜드에 대한 인사이트를 뿜뿜해주시길 기대하며.. 다시한번 환영합니다!,브랜드에 대한 통찰력을 제공하기를 기대합니다. 우리는 다시 당신을 환영합니다!,3.6,1.0
boostcamp-sts-v1-train-2919,petition-sampled,학교 난방좀 틀어주세요,학교 규정좀 조정해주세요..,0.4,0.0
boostcamp-sts-v1-train-2920,nsmc-sampled,후반의 하니 노래 우려먹기 약간은 애교로 봐줄 수 있음,출연배우들의 발연기를 실컷 볼 수 있음,0.0,0.0
boostcamp-sts-v1-train-2921,nsmc-sampled,"지루하지않고몰입하고본 영화,,",완전 몰입해서 본 년전 영화..,3.4,1.0
boostcamp-sts-v1-train-2922,nsmc-rtt,여러번 반복해서 본 영화,두고두고 본 영화들,3.4,1.0
boostcamp-sts-v1-train-2923,petition-rtt,소비자 기망하는 서비스 센터의 영업 행태에 대하여 조사하여 사실이라면 시정될수 있도록 조치하여 주시기 바랍니다.,소비자를 속이는 서비스센터의 영업행위를 조사하여 사실일 경우 시정할 수 있도록 조치합니다.,4.0,1.0
boostcamp-sts-v1-train-2924,nsmc-sampled,완전 귀여웠던 영화.,정말 즐거웠던 드라마!,0.8,0.0
boostcamp-sts-v1-train-2925,slack-rtt,나중에는 좋아하신다는 맥주도 마시면서 즐겁게 이야기해요~!,이어 좋아하는 맥주를 마시며 즐겁게 수다~!,3.2,1.0
boostcamp-sts-v1-train-2926,slack-sampled,사실 하시고 가셨습니다!,정말 잘 오셨습니다!,0.0,0.0
boostcamp-sts-v1-train-2927,nsmc-rtt,속지말자 미로같은거 안나온다.,"속지 마세요, 미로 같은 것은 나오지 않습니다.",4.2,1.0
boostcamp-sts-v1-train-2928,nsmc-sampled,실화라니 너무 가슴 아프다...,진짜너무슬퍼요...,2.6,1.0
boostcamp-sts-v1-train-2929,nsmc-sampled,어색한 엑스트라들의 연기와 진부한 대사,식상하고 진부한 대사와 코미디,2.2,0.0
boostcamp-sts-v1-train-2930,nsmc-sampled,그건 그림판을 썼나?,그건 왜 안만들었나?,0.0,0.0
boostcamp-sts-v1-train-2931,slack-sampled,앗. 아깝게 miss했습니다. (저도 초대가 안되었습니다.),어제부터 저도 (가상의) 집사가 되기로 했습니다..,0.0,0.0
boostcamp-sts-v1-train-2932,slack-rtt,참고로 제주도에서는 고구마를 '감자'라고 부르고 감자를 '지슬'이라 부른답니다;;,참고로 제주도에서는 고구마를 '감자'라고 하고 감자를 '지슬'이라고 합니다;;,4.4,1.0
boostcamp-sts-v1-train-2933,petition-sampled,수능 난이도를 낮춰주시길 바랍니다..,정시를 늘리고 수능 절대평가로 바꾸는 것을 물러주세요.,0.0,0.0
boostcamp-sts-v1-train-2934,petition-sampled,음주운전도 중요하지만 졸음운전 노약자나 심신미약자 운전미숙도 좀 중요시합시다.,"제발 어음제도없세고 물품대 바로 카드결제로 법제화 되어야합니다,",0.0,0.0
boostcamp-sts-v1-train-2935,slack-rtt,또 뵙고 이야기 나누어요,다시 만나서 얘기하자,3.8,1.0
boostcamp-sts-v1-train-2936,nsmc-sampled,아내 폭행죄로 교도소행.. 감동이 싹다 사라졌다..,감동이....내 가슴에 전해진다..,0.6,0.0
boostcamp-sts-v1-train-2937,slack-sampled,"다음 미팅이 있어서 이야기 나누다가 허겁지겁 마무리 했는데, 담에 오피스에서 만나서 맛있는 식사 하면서 또 이야기 나눠요!",아쉽지만 푹 쉬고 몸이 다 나아서 다음주에 맛있는것 먹기로하며 마무리했습니다.,0.0,0.0
boostcamp-sts-v1-train-2938,nsmc-sampled,솔직히 너무 재밌다ㅋㅋ,난 이거 되게 재밌네 ㅋㅋ,3.8,1.0
boostcamp-sts-v1-train-2939,petition-sampled,초등학교 돌봄교실 늘여주세요. 맞벌이가 죄인가요?,추첨제 돌봄교실 현 정권의 육아정책과 맞는 건가요?,1.6,0.0
boostcamp-sts-v1-train-2940,slack-sampled,메뉴 완벽이네요..,그러게요 특이하네요..,0.0,0.0
boostcamp-sts-v1-train-2941,petition-rtt,부정부폐비리의천국 전정부 인전못합니다.[펌옴],부패와 부패의 낙원,1.4,0.0
boostcamp-sts-v1-train-2942,petition-sampled,여자하키팀 단일팀반대,여자아이스하키 단일팀 반대,4.0,1.0
boostcamp-sts-v1-train-2943,nsmc-sampled,가슴이 먹먹해지는 영화,말이 필요 없음 수십번 볼때마다 가슴이 먹먹해지는 영화 ㅜ.ㅜ,3.4,1.0
boostcamp-sts-v1-train-2944,nsmc-sampled,짱구캐릭터가 참...재미와 감동 두가지토끼를 한번에잡으려는게 눈에 보입니다.,노력을안하는듯...캐릭터가모든영화에서 보면 거기서 거기인듯,0.6,0.0
boostcamp-sts-v1-train-2945,petition-sampled,제발 경기지역 골고루 차도에 자전거도로좀 깔아주세요...,150만원 이하 통장압류 금지법 ... 빨리 만들어주세요 ...,0.0,0.0
boostcamp-sts-v1-train-2946,nsmc-rtt,처음에 이감독의영화는 뭔가 지루할듯 무거울듯 하지만보는순간 어느새빠져버린다,이 감독의 영화는 처음에는 지루하고 무거워 보이지만 보자마자 사랑에 빠진다.,3.8,1.0
boostcamp-sts-v1-train-2947,petition-rtt,대한민국 모든 기술자는 기술자를 관리한다고 하는 관리기관과 협회가 등골을 빼먹는 기관입니다,한국자산관리공사에 근무하는 사람들의 특권의식을 없애는 제도적 장치를 마련해주시기 바랍니다,0.0,0.0
boostcamp-sts-v1-train-2948,slack-sampled,"동네 얘기, 회사 얘기 재밌었습니다.","취미 얘기, 애플 제품 사용기, 커리어 이야기 등을 나눴었습니다.",0.8,0.0
boostcamp-sts-v1-train-2949,slack-sampled,오늘의 키워드 믿음…!,오늘의 키워드는 ‘믿음’ ㅎㅎ,4.0,1.0
boostcamp-sts-v1-train-2950,petition-rtt,TV조선 2030에게 길을 묻다를 보면서 대한민국의 희망을 보았습니다.,TV조선 2030 길을 묻다를 보면서 한국의 희망을 보았습니다.,4.8,1.0
boostcamp-sts-v1-train-2951,nsmc-sampled,관객 스스로 결론을 유추해 나가야하는 영화.,관객을 조롱하는 영화.,0.8,0.0
boostcamp-sts-v1-train-2952,petition-sampled,가상화폐 거래소 폐지 바랍니다.,# 가상화폐 거래소를 폐지해야 합니다.,4.0,1.0
boostcamp-sts-v1-train-2953,slack-sampled,ㅋㅋ서로 냉장고 이야기를 너무 열심히 한 것 같아요 ㅋㅋ,이름이 너무너무 아파를 귀엽게 말하는것 같네요 ㅋㅋㅋ,0.0,0.0
boostcamp-sts-v1-train-2954,petition-sampled,북한 핵위협 제거 방법,북한위협 해소할 길 있다.,2.4,0.0
boostcamp-sts-v1-train-2955,petition-sampled,"국민들의 몰락, 두고만 보실겁니까.","제주도 난민, 어쩌실 계획인겁니까.",0.0,0.0
boostcamp-sts-v1-train-2956,slack-sampled,역시<PERSON>은 타고난 방송맨이신 듯..!,<PERSON>..역시 이 방 대장~,0.6,0.0
boostcamp-sts-v1-train-2957,petition-sampled,수소차가 공기정화의 기능이 된다면 서울시 택시를 수소차로,"혐오의 공간이 아닌, 안식의 공간을 위한 요양원 체제개선",0.0,0.0
boostcamp-sts-v1-train-2958,petition-rtt,중소기업이 살아갈 수 있도록 정책을 써주십시요.,중소기업이 살아남을 수 있는 정책을 작성해 주십시오.,4.2,1.0
boostcamp-sts-v1-train-2959,nsmc-sampled,솔직히 까고 말할께.,솔직히 말할게...,3.6,1.0
boostcamp-sts-v1-train-2960,petition-rtt,대한민국의 성장을 위해 공교육을 하루빨리 정상화 시켜주세요!,대한민국의 성장을 위해 하루빨리 공교육을 정상화 해주세요!,4.8,1.0
boostcamp-sts-v1-train-2961,nsmc-sampled,답답하고 불편하다...,지금도 짜증이 난다...,1.0,0.0
boostcamp-sts-v1-train-2962,slack-sampled,요즘 엄청 바쁘신 것 같은 <PERSON> 님과 이야기를 해봤습니다.,<PERSON> 님 예전에 한 문장 하셨는데 요즘들어서 필력이 다소(ㅋㅋ) 떨어졌다고 하시네요.,0.4,0.0
boostcamp-sts-v1-train-2963,petition-sampled,청원할때 같은 내용의 청원을 여러번 올리지않도록 해주세요.,정부의 성의 없이 답변된 청원 밑에 국민들이 댓글을 달아 소통할 수 있도록 해주세요.,0.6,0.0
boostcamp-sts-v1-train-2964,slack-sampled,따뜻하게 맞이합니다.,기록된 추억은 따뜻함을 더욱 오래가게 하더라구요.,0.4,0.0
boostcamp-sts-v1-train-2965,nsmc-sampled,평점 왜이리 낮지?,평점이 왜이리 낮노???,4.4,1.0
boostcamp-sts-v1-train-2966,nsmc-sampled,"그 다음엔 와이프가 나가고, 결국 나 혼자울면서 봤다.","괴짜 영화 같지만, 갈수록 빠져드는 내 자신을 발견했다...^",0.0,0.0
boostcamp-sts-v1-train-2967,nsmc-sampled,시즌 빨리 시작해 주세요!,빨리 끝냅시다 쫌!!!!,0.2,0.0
boostcamp-sts-v1-train-2968,petition-rtt,존경하는 대통령님! 사업자 과세기준을 수정해 주십시요.,존경하는 대통령님! 사업세 과세표준을 수정해 주십시오.,4.2,1.0
boostcamp-sts-v1-train-2969,slack-sampled,디자인+AI or 디자인+데이터사이언스 분야에 대해서 함께 고민해보는 시간을 가졌습니다.,또다시 저의 질문 폭격기가 시동이 걸려서 브랜드 디자인과 관련해서 여러가지 여쭤봤습니다.,0.8,0.0
boostcamp-sts-v1-train-2970,petition-rtt,청와대 경호처는 태영호 공사를 적극 경호하라!!,청와대 경호원은 태영호를 적극 지켜라!!,4.4,1.0
boostcamp-sts-v1-train-2971,slack-sampled,제가 쓰는 앱중에서 비슷한거 있습니다.,오 제가 아는 무료앱중에 아주 괜찮은 녀석이 있습니다 ㅎㅎ,1.6,0.0
boostcamp-sts-v1-train-2972,nsmc-sampled,짜증나는 영화...,비호감 주연들의 짜증나는 영화..,3.0,1.0
boostcamp-sts-v1-train-2973,slack-sampled,아바다케다브라 ㅋㅋ,ㅋㅋ 아 진짜 웃기네여 ㅋㅋㅋ,0.0,0.0
boostcamp-sts-v1-train-2974,nsmc-sampled,"재밋게본 기억이나네, 버럭범수 헿",재밋게봣어용 연기들 굳,2.2,0.0
boostcamp-sts-v1-train-2975,nsmc-sampled,안타깝게도 처음부터 끝까지 전혀 이해할 수 없는 내용의 연속...,아 끝까지 보지 못한게...,0.0,0.0
boostcamp-sts-v1-train-2976,slack-rtt,지금은 더현대서울 팝업스토어에서 구매할 수 있다고 합니다!!,지금 현대서울 팝업스토어에서 만나보실 수 있습니다!!,2.8,1.0
boostcamp-sts-v1-train-2977,slack-sampled,2배 레버리지 상품입니다. ㅋㅋ,마크 레벨업 시켜주세요~,0.0,0.0
boostcamp-sts-v1-train-2978,petition-sampled,탈원전 폐지 국민투표,최저임금 인상 반대합니다,0.0,0.0
boostcamp-sts-v1-train-2979,nsmc-rtt,어머니세대의 생각과 정을 많이 느낄 수 있었으며 좋은곳에서 재밌는 얘기도 하고 미션도 수행하는 아쥬~유쾌한 프로그램이다.,어머니 세대의 생각과 감정을 많이 느낄 수 있었고 좋은 곳에서 이야기도 하고 미션도 수행할 수 있는 아주 즐거운 프로그램입니다.,4.0,1.0
boostcamp-sts-v1-train-2980,petition-sampled,유은혜 장관에게 바란다.,유은혜 장관지명 철회하라.,1.2,0.0
boostcamp-sts-v1-train-2981,slack-sampled,리모션을 대체가능하게 되는건가요?,최종 각각 몇개 했을까요?,0.0,0.0
boostcamp-sts-v1-train-2982,petition-sampled,평창 올림픽 한반도기 입장을 반대한다.,"평창올림픽 남북 단일팀 반대, 한반도기 사용 반대합니다.",2.8,1.0
boostcamp-sts-v1-train-2983,nsmc-sampled,"편은 힛걸에의한 힛걸을위한 힛걸에 영화엿어야햇어, 이건머니?",히어로무비라고 해야되나 ㅋㅋ 힛걸에 빠짐//,1.0,0.0
boostcamp-sts-v1-train-2984,slack-rtt,OCR 강의 감사합ㄴㅣ다 ㅋㅋ,OCR 강의 감사합니다 ㅋㅋㅋㅋ,4.6,1.0
boostcamp-sts-v1-train-2985,petition-sampled,신태용 감독님의 퇴임식을 마련해주세요,신태용 감독 소지품 검사좀 시행해주세요,0.8,0.0
boostcamp-sts-v1-train-2986,slack-sampled,문패 어제 시켰어요!ㅠㅠ,문패 없어도 될듯.,1.0,0.0
boostcamp-sts-v1-train-2987,slack-sampled,근데 수업을 들으면서 써야 제대로 쓸 수 있는 것 같아요!,그리고 부족한 부분이 있다면 보완할 수 있는 방법을 고민해보면 좋을 것 같아요.,0.0,0.0
boostcamp-sts-v1-train-2988,slack-sampled,차주 월요일에 올듯!,사진은 화요일의 아침,0.0,0.0
boostcamp-sts-v1-train-2989,nsmc-sampled,생각한거 보다는 아니 였지만 감동적이예요,무섭진 않았지만 재밌어요.,0.8,0.0
boostcamp-sts-v1-train-2990,petition-sampled,서민주택부동산은 보호해주세요,국민임대주택 소득기준을 완화해주세요,0.2,0.0
boostcamp-sts-v1-train-2991,petition-rtt,부실 태양광 발전 누굴 위하는 것인가??,"열악한 태양광 발전, 누구를 위한 것인가?",4.8,1.0
boostcamp-sts-v1-train-2992,petition-sampled,김영란법에 대하여3,김영란법 개정반대!,1.2,0.0
boostcamp-sts-v1-train-2993,petition-sampled,김영란법 개정 절대 반대.,김영란법 개정하는건 반대 합니다.,3.8,1.0
boostcamp-sts-v1-train-2994,petition-rtt,양성평등 성평등 확실한 뜻을 제대로 밝히고 정치해주세요,양성평등 양성평등 정치의 의미를 명확히 밝혀주세요,2.8,1.0
boostcamp-sts-v1-train-2995,petition-rtt,아동학대 신고 종료해 주세요,아동학대 신고를 멈춰주세요,4.0,1.0
boostcamp-sts-v1-train-2996,slack-rtt,넵! 권한 해제했습니다,예! 권한이 제거되었습니다,3.8,1.0
boostcamp-sts-v1-train-2997,nsmc-sampled,굿바이 레닌' 으로 한국에서 사기치기..,그놈의 굿 페이스가 뭔지...,0.0,0.0
boostcamp-sts-v1-train-2998,nsmc-sampled,에잇 그냥츄하기만하고.,그냥 빨랑 끝냅니다.,0.0,0.0
boostcamp-sts-v1-train-2999,nsmc-rtt,장애극복이 아닌 또다른언어로 사랑을 소통하는 얘기라 너무 좋았어요,장애를 극복하기 보다는 다른 언어로 사랑을 전하는 것 같아서 너무 좋았다.,3.8,1.0
boostcamp-sts-v1-train-3000,slack-sampled,이런 저런 이야기 다 넘 재밌었습니다.,다 먹고 카페가서 이런 저런 이야기 나누었는데 너무 재밌었어요.,2.8,1.0
boostcamp-sts-v1-train-3001,petition-rtt,국회의원 불법해외관광 전수조사 적극요구,"국회 의원들, 불법해외관광에 대한 전면적 수사 촉구",4.4,1.0
boostcamp-sts-v1-train-3002,slack-rtt,제주도에서 잘 있습니다,제주도에서 행운을 빕니다,1.4,0.0
boostcamp-sts-v1-train-3003,petition-sampled,등교 시간대(7시~8시 30분)의 공사를 제한해주세요,출퇴근 시간(08시출근-17시퇴근) 변경하여 저녁있는 삶을 살자,0.0,0.0
boostcamp-sts-v1-train-3004,nsmc-sampled,재미도 없고 시간도 아깝다,재미도 없고 내용도 없고,2.4,0.0
boostcamp-sts-v1-train-3005,nsmc-rtt,"에휴,...미국이 잘못이지",에휴... 미국 잘못이다,3.8,1.0
boostcamp-sts-v1-train-3006,petition-sampled,(현직 변호사) 사법 피해 호소문,(서울신문 기고문) 지방법원의 개인회생법 적용실태,0.0,0.0
boostcamp-sts-v1-train-3007,slack-rtt,프로덕트와 연구 사이에서의 밸런스 포인트가 중요한 분이시란 인상을 받았는데요.,제품과 연구 사이에 균형을 이루는 사람이라는 인상을 받았습니다.,3.0,1.0
boostcamp-sts-v1-train-3008,slack-rtt,오오! ㅋㅋ앞으로 손글씨 사진 더 많이 모아봅니다 ㅋㅋㅋ,"오, 오! 앞으로 손글씨 사진을 더 많이 수집하겠습니다.",3.6,1.0
boostcamp-sts-v1-train-3009,nsmc-sampled,와 진짜 휘성편 최고...,와 진짜 뭔가 뭉클했다...,0.4,0.0
boostcamp-sts-v1-train-3010,petition-sampled,김기덕 조재현과 매니저 성폭범입니다.,직장내 성희롱 피해자입니다.,0.0,0.0
boostcamp-sts-v1-train-3011,nsmc-sampled,재미도감동도 다 사로잡음,재미도감동도 스릴도 없어 ㅋㅋ,1.2,0.0
boostcamp-sts-v1-train-3012,nsmc-rtt,보면 화가나네 줸쟝,당신을 보면 화가 납니다.,2.6,1.0
boostcamp-sts-v1-train-3013,petition-sampled,국토부와 환경부는 서로 커뮤니케이션이 되는지!,최저임금에따른 최고임금 연동제와 스톡옵션제도 도입,0.0,0.0
boostcamp-sts-v1-train-3014,petition-sampled,조두순 출소반대합니다,조두순 출소반대합니다.,5.0,1.0
boostcamp-sts-v1-train-3015,nsmc-rtt,갑갑한 마음에 한순만 쉬었던 영화 작품성 배우연기력 몰입도 결론 잊고 싶은영화,답답한 마음에 잠시 쉬어가는 영화. 잊고 싶은 영화.,2.2,0.0
boostcamp-sts-v1-train-3016,petition-rtt,"집없는 서민들이 모여서 ""내가 내집을 짓는 지역주택조합(대구 수성범어W)"" 분양가를 현실에 맞게 책정해 주세요.",노숙자들이 모여 현실에 맞게 '내 집을 짓는 지역주택조합(대구 수성범어W)'의 부동산 가격을 정한다.,2.4,0.0
boostcamp-sts-v1-train-3017,nsmc-sampled,이래서 안돼....,그러면 이것을 봐라.........,0.0,0.0
